mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
0,5,1,0.05399999999999999,1,9,-0.131,0,-1,0.029000000000000026,6,11,17,3,-5,0,6,-1,11
0,-2,0,-0.025999999999999968,0,-5,0.033,10,10,0.10899999999999999,-5,-3,-8,2,7,-3,-7,-4,6
0,9,15,0.02999999999999997,12,28,0.033999999999999975,-10,-9,-0.15399999999999991,4,-1,3,3,2,0,-7,-2,20
0,3,-7,0.07399999999999995,-4,-9,-0.04800000000000004,1,-1,0.07200000000000006,-2,4,2,-4,-3,0,4,3,3
0,5,6,0.026000000000000023,3,10,-0.052999999999999936,-4,-1,-0.16800000000000004,8,7,15,1,1,-3,3,2,9
0,9,3,0.08600000000000002,-2,-14,0.14100000000000001,-9,-13,0.06099999999999994,0,3,3,1,4,-3,-2,8,7
0,7,12,0.010000000000000009,-3,0,-0.21400000000000002,-7,-10,0.03600000000000003,8,5,13,9,0,3,0,1,4
0,4,10,-0.0050000000000000044,-7,-6,-0.259,2,2,0.039000000000000035,1,-6,-5,-3,5,-5,-10,-5,3
0,2,13,-0.040000000000000036,3,1,0.19799999999999998,8,0,0.25,9,5,14,2,-4,8,-1,-6,15
0,0,-17,0.08400000000000002,-3,-5,-0.08099999999999996,21,26,0.10399999999999987,2,10,12,3,-2,6,3,-7,18
0,0,-3,0.020000000000000018,0,1,-0.02899999999999997,7,10,-0.02300000000000002,6,11,17,1,0,-2,4,1,7
0,5,0,0.059,-2,-11,0.13600000000000007,-2,-3,0.015000000000000013,-4,-5,-9,5,-5,-2,-3,1,6
0,2,18,-0.05800000000000005,-4,-11,-0.09100000000000003,1,1,0.01100000000000001,10,-9,1,-5,6,-3,-9,3,1
0,2,-1,0.030000000000000027,0,6,-0.07700000000000001,5,7,-0.03600000000000003,4,7,11,3,5,3,2,-5,9
0,11,-8,0.16300000000000003,-5,-13,-0.032999999999999974,5,5,0.04799999999999993,-4,17,13,10,-1,5,-1,-4,22
0,12,9,0.09299999999999997,6,-1,0.27299999999999996,2,4,-0.039000000000000035,3,7,10,18,5,1,-4,-2,32
0,9,-4,0.1409999999999999,0,-3,0.051000000000000045,-5,-4,-0.1459999999999999,-5,1,-4,9,2,-1,3,0,13
0,13,11,0.08800000000000008,13,19,0.15899999999999992,-9,-16,0.15700000000000003,2,13,15,20,1,-2,0,6,30
0,7,-6,0.11499999999999999,-1,-10,0.18999999999999995,-5,-10,0.17900000000000005,-4,11,7,4,0,0,4,3,8
0,-4,-16,0.038000000000000034,3,-12,0.378,12,16,-0.007000000000000006,-10,-1,-11,-2,2,-3,-5,-5,7
